Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10001,A,195,57.70368,11.99507,57.69785,11.9911,28.2065,Vertical,0.69144,0.3,0.3
10001,B,194,57.69785,11.9911,57.70368,11.99507,29.2145,Vertical,0.69144,0.3,0.3
10002,A,253,57.72539,11.98181,57.72285,11.97265,38.528,Vertical,0.61455,0.2,0.2
10002,B,254,57.72285,11.97265,57.72539,11.98181,37.268,Vertical,0.61455,0.2,0.2
10003,A,209,57.69247,11.97496,57.69406,11.97951,38.528,Vertical,0.32374,0.3,0.3
10003,B,210,57.69406,11.97951,57.69247,11.97496,37.268,Vertical,0.32374,0.3,0.3
10004,A,616,57.70668,11.97285,57.70194,11.97488,28.2345,Vertical,0.54124,0.3,0.3
10004,B,615,57.70194,11.97488,57.70668,11.97285,29.2425,Vertical,0.54124,0.3,0.3
10005,A,621,57.69318,11.95387,57.70321,11.95678,32.361,Vertical,1.12973,0.3,0.3
10005,B,622,57.70321,11.95678,57.69318,11.95387,33.173,Vertical,1.12973,0.3,0.3
10006,A,509,57.69694,11.95513,57.70321,11.95678,37.24,Vertical,0.70481,0.2,0.3
10006,B,510,57.70321,11.95678,57.69694,11.95513,38.5,Vertical,0.70481,0.3,0.2
10007,A,471,57.70669,11.96462,57.70321,11.95678,37.324,Vertical,0.60759,0.3,0.3
10007,B,472,57.70321,11.95678,57.70669,11.96462,38.584,Vertical,0.60759,0.3,0.3
10008,A,135,57.69518,11.96623,57.69562,11.9726,38.556,Vertical,0.38288,0.2,0.2
10008,B,136,57.69562,11.9726,57.69518,11.96623,37.296,Vertical,0.38288,0.2,0.2
10009,A,16,57.69989,11.97369,57.71181,11.98477,37.24,Vertical,1.48256,0.3,0.3
10009,B,15,57.71181,11.98477,57.69989,11.97369,38.5,Vertical,1.48256,0.3,0.3
10010,A,587,57.69959,11.93678,57.70321,11.95678,32.445,Vertical,1.25841,0.3,0.3
10010,B,588,57.70321,11.95678,57.69959,11.93678,33.257,Vertical,1.25841,0.3,0.3
10011,A,372,57.71352,11.97777,57.71181,11.98477,37.324,Vertical,0.45866,0.3,0.3
10011,B,371,57.71181,11.98477,57.71352,11.97777,38.584,Vertical,0.45866,0.3,0.3
10012,A,196,57.70194,11.97488,57.69785,11.9911,28.1785,Vertical,1.06883,0.3,0.3
10012,B,193,57.69785,11.9911,57.70194,11.97488,29.1865,Vertical,1.06883,0.3,0.3
10013,A,646,57.70525,11.96184,57.70669,11.96462,38.444,Vertical,0.23118,0.3,0.3
10013,B,645,57.70669,11.96462,57.70525,11.96184,37.184,Vertical,0.23118,0.3,0.3
10014,A,76,57.72125,11.96431,57.72285,11.97265,37.324,Vertical,0.52844,0.3,0.3
10014,B,75,57.72285,11.97265,57.72125,11.96431,38.584,Vertical,0.52844,0.3,0.3
