Time_UTC,Pvol_mm,Pvol_QC,Ta_C,Ta_QC,RH_%,RH_QC,Pmsl_hPa,Pmsl_QC,Vmean_m/s,Vmean_QC,Vdir_deg,Vdir_QC,Vg_m/s,Vg_QC
2015-06-01T00:15:00Z,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T00:30:00Z,0.6,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T00:45:00Z,0.5,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T01:00:00Z,0.6,G,12.9,G,93,G,998.6,G,4.9,G,200,G,12.2,G
2015-06-01T01:15:00Z,1.1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T01:30:00Z,0.9,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T01:45:00Z,0.6,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T02:00:00Z,0.3,G,11.7,G,94,G,999.2,G,5.3,G,225,G,10.6,G
2015-06-01T02:15:00Z,0.2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T02:30:00Z,0.6,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T02:45:00Z,0.5,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T03:00:00Z,0.8,G,10.2,G,92,G,1000.3,G,5.2,G,227,G,12.2,G
2015-06-01T03:15:00Z,0.7,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T03:30:00Z,0.6,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T03:45:00Z,0.2,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T04:00:00Z,0,G,10.2,G,89,G,1001.4,G,4.9,G,220,G,9.6,G
2015-06-01T04:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T04:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T04:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T05:00:00Z,0,G,10.3,G,81,G,1002.7,G,6,G,238,G,12.1,G
2015-06-01T05:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T05:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T05:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T06:00:00Z,0,G,10.9,G,73,G,1004.1,G,6.1,G,233,G,11.5,G
2015-06-01T06:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T06:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T06:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T07:00:00Z,0,G,11.3,G,72,G,1005.2,G,5.5,G,230,G,12.2,G
2015-06-01T07:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T07:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T07:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T08:00:00Z,0,G,11.9,G,65,G,1006.2,G,7.1,G,238,G,12.4,G
2015-06-01T08:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T08:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T08:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T09:00:00Z,0,G,13,G,60,G,1007.1,G,5.8,G,226,G,12.5,G
2015-06-01T09:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T09:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T09:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T10:00:00Z,0,G,13,G,59,G,1008,G,8.4,G,243,G,13.2,G
2015-06-01T10:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T10:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T10:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T11:00:00Z,0,G,14,G,52,G,1008.9,G,6.2,G,237,G,11.9,G
2015-06-01T11:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T11:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T11:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T12:00:00Z,0,G,13.7,G,56,G,1009.9,G,6.8,G,234,G,14.8,G
2015-06-01T12:15:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T12:30:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T12:45:00Z,0,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01T13:00:00Z,0,G,14.4,G,52,G,1010.7,G,6,G,223,G,13,G
